name,iata_code
Frieda River Airport,FAQ
Fuma Airport,FUM
Goroka Airport,GKA
Guari Airport,GUG
Garasa Airport,GRL
Gurney Airport,GUR
Gusap Airport,GAP
Girua Airport,PNP
Gasuke Airport,GBC
Habi Airport,HBD
Heiweni Airport,HNI
Honinabi Airport,HNN
Hoskins Airport,HKN
Haivaro Airport,HIT
Imane Airport,IMN
Kungim Airport,KGM
Imonda Airport,IMD
Aropa Airport,KIE
Ialibu Airport,IAL
Witu Airport,WIU
Yongai Airport,KGH
Losuia Airport,LSA
Kopiago Airport,KPA
Kiunga Airport,UNG
Kanainj Airport,KNE
Kikori Airport,KRI
Kerema Airport,KMA
Kar Kar Airport,KRX
Kuri Airport,KUQ
Kavieng Airport,KVG
Londolovit Airport,LNV
Lab Lab Airport,LAB
Lowai Airport,LWI
Leron Plains Airport,LPN
Lese Airport,LNG
Long Island Airport,LSJ
Yas Island Seaplane Base,AYM
Manari Airport,MRM
Morobe Airport,OBM
Madang Airport,MAG
Mount Hagen Kagamuga Airport,HGU
Mougulu Airport,GUV
Mendi Airport,MDU
Momote Airport,MAS
Moro Airport,MXH
Misima Island Airport,MIS
Marawaka Airport,MWG
Nankina Airport,NKN
Negarbo(Negabo) Airport,GBF
Manguna Airport,MFO
Kasonombe Airport,KSB
Nomane Airport,NMN
Nambaiyufa Airport,NBA
Nadzab Airport,LAE
Konge Airport,KGB
Oksapmin Airport,OKP
Komako Airport,HOC
Komaio Airport,KCJ
Koroba Airport,KDE
Open Bay Airport,OPB
Pangoa Airport,PGB
Pangia Airport,PGN
Mapoda Airport,MPF
Pumani Airport,PMN
Port Moresby Jacksons International Airport,POM
Sopu Airport,SPH
Sialum Airport,SXA
Rumginae Airport,RMN
Karimui Airport,KMR
Maramuni Airport,MWI
May River Airstrip,MRH
Suabi Airport,SBE
Simberi Airport,NIS
Sila Airport,SIL
Sabah Airport,SBV
Simbai Airport,SIM
Selbang Airport,SBC
Sepik Plains Airport,SPV
Sauren Airport,SXW
Masa Airport,MBV
Tari Airport,TIZ
Tabubil Airport,TBG
Tapini Airport,TPI
Tokua Airport,RAB
Tekin Airport,TKW
Tep Tep Airport,TEP
Tsewi Airport,TSW
Tarakbits Airport,TRJ
Tawa Airport,TWY
Tekadu Airport,TKB
Aiyura Airport,AYU
Umba Airport,UMC
Uroubi Airport,URU
Upiara Airport,UPR
Uvol Airport,UVO
Talasea Airport,TLW
Torembi Airport,TCJ
Vanimo Airport,VAI
Tonu Airport,TON
Wabo Airport,WAO
Wapenamanda Airport,WBM
Wawoi Falls Airport,WAJ
Wewak International Airport,WWK
Wonenara Airport,WOA
Wakunai Airport,WKN
Wasu Airport,WSU
Woitape Airport,WTP
Wau Airport,WUG
Yeva Airport,YVD
Sim Airport,SMJ
Weam Airport,WEP
Arugam Bay SPB,AYY
Yalumet Airport,KYX
Yasuru Airport,KSX
Wasum Airport,WUM
Zabrat Airport,ZXT
Fuzuli International Airport,FZL
Lava Falls Heliport,HAE
Amazon Bay Airport,AZB
Zhenjiang Dalu Airport,AZJ
Bali Airport,BAJ
Bambu Airport,BCP
Benguera Island Airport,BCW
Milyakburra Airport,BCZ
Willmar Municipal Airport John L Rice Field (2006),ILL
Baindoung Airport,BDZ
Malevo Airfield,HKV
Bezmer Air Base,JAM
Aasiaat Airport,JEG
Aappilattoq Heliport,AOQ
Tasiilaq Heliport,AGM
Attu Heliport,QGQ
Narsarsuaq Airport,UAK
Qasigiannguit Heliport,JCH
Neerlerit Inaat Airport,CNP
Eqalugaarsuit Heliport,QFG
Nuuk Airport,GOH
Qeqertarsuaq Heliport,JGO
Ikerasak Heliport,IKE
Iginniarfik Heliport,QFI
Ikerassaarsuk Heliport,QRY
Ilimanaq Heliport,XIQ
Innarsuit Heliport,IUI
Isortoq Heliport,IOQ
Ikamiut Heliport,QJI
Qaqortoq Heliport,JJU
Ilulissat Airport,JAV
Kangaatsiaq Heliport,QPW
Kulusuk Airport,KUS
Kuummiut Heliport,KUZ
Kullorsuaq Heliport,KHQ
Kangersuatsiaq Heliport,KGQ
Kitsissuarsuit Heliport,QJE
Illorsuit Heliport,IOT
Maniitsoq Airport,JSU
Nanortalik Heliport,JNN
Nuugaatsiaq Heliport,JUU
Narsaq Heliport,JNS
Niaqornat Heliport,NIQ
Nuussuaq Heliport,NSQ
Paamiut Airport,JFR
Qeqertaq Heliport,PQT
Qaanaaq Airport,NAQ
Ittoqqortoormiit Heliport,OBY
Kangerlussuaq Airport,SFJ
Siorapaluk Heliport,SRK
Saarloq Heliport,QOQ
Sisimiut Airport,JHS
Saattut Heliport,SAE
Savissivik Heliport,SVR
Tasiusaq Heliport,TQA
Thule Air Base,THU
Tiniteqilaaq Heliport,TQI
Upernavik Airport,JUV
Uummannaq Heliport,UMD
Qaarsut Airport,JQA
Ukkusissat Heliport,JUK
Bahía de los Ángeles Airport,BHL
Brighton Downs Airport,BHT
Akureyri Airport,AEY
Bildudalur Airport,BIU
Borgarfjörður eystri Airport,BGJ
Bakkafjörður Airport,BJD
Hjaltabakki Airport,BLO
Búðardalur Airport,BQD
Breiðdalsvík Airport,BXV
Djúpivogur Airport,DJU
Egilsstaðir Airport,EGS
Fáskrúðsfjörður Airport,FAS
Fagurhólsmýri Airport,FAG
Grundarfjörður Airport,GUU
Gjögur Airport,GJR
Grímsey Airport,GRY
Hólmavík Airport,HVK
Hornafjörður Airport,HFN
Holt Airport,FLI
Húsavík Airport,HZK
Krókstaðarmelar Airport,HVM
Ingjaldssanður Airport,HLO
Ísafjörður Airport,IFJ
Keflavik International Airport,KEF
Kópasker Airport,OPA
Sauðárkrókur Airport,SAK
Norðfjörður Airport,NOR
Ólafsfjörður Airport,OFJ
Patreksfjörður Airport,PFJ
Reykhólar Airport,RHA
Rif Airport,OLI
Raufarhöfn Airport,RFN
Reykjavik Airport,RKV
Reykjahlíð Airport,MVA
Siglufjörður Airport,SIJ
Stykkishólmur Airport,SYK
Þingeyri Airport,TEY
Þórshöfn Airport,THO
Vestmannaeyjar Airport,VEY
Vopnafjörður Airport,VPN
Baleela Airport,BJE
Bahja Airport,BJQ
Bentota River Waterdrome,BJT
Priština Adem Jashari International Airport,PRN
Bomai Airport,BMH
Bamburi Airport,BMQ
Bamu Airport,BMZ
Baranof Warm Springs Float and Seaplane Base,BNF
Bodinumu Airport,BNM
Bundi Airport,BNT
Rurrenabaque Airport,RBQ
Baures Airport,BVL
Bolling Air Force Base,BOF
Brookings Airport,BOK
Bosset Airport,BOT
Boang Airport,BOV
Batuna Aerodrome,BPF
Bartlett Cove Seaplane Base,BQV
Pedro Vieira Moreira Airport,CJZ
Glauber de Andrade Rocha Airport,VDC
Alenquer Municipal Airport,ALT
Bimini North Seaplane Base,NSB
Bensbach Airport,BSP
Besakoa Airport,BSV
Betong International Airport,BTZ
Bulolo Airport,BUL
Esperadinha Airport,BVR
Hukuntsi Airport,HUK
Bawan Airport,BWJ
Bewani Airport,BWP
Blue Lagoon Seaplane Base,BXL
Bunsil Airport,BXZ
Orsha Airport - Balbasovo Air Base,TXC
Boundary Airport,BYA
Bella Yella Airport,BYL
Beira Lake Seaplane Base,BYV
Hector Silva Airstrip,BCV
Big Creek Airport,BGK
Caye Caulker Airport,CUK
Caye Chapel Airport,CYC
Corozal Municipal Airport,CZH
Dangriga Airport,DGA
Independence Airport,INB
Melinda Airport,MDB
Orange Walk Airport,ORZ
Placencia Airport,PLJ
Punta Gorda Airport,PND
Sartaneja Airport,SJX
John Greif II Airport,SPR
Matthew Spain Airport,SQS
Santa Cruz Airport,STU
Silver Creek Airport,SVK
Sir Barry Bowen Municipal Airport,TZA
Bazaruto Island Airport,BZB
Bemolanga Airport,BZM
Saglek Airport,YSV
Stuart Island Airstrip,YRR
Mary River Aerodrome,YMV
Hakai Passage Water Aerodrome,YHC
Paradise Skypark Airport,PYS
Bedwell Harbour Seaplane Base,YBW
Tofino Harbour Seaplane Base,YTP
Nanaimo Harbour Water Airport,ZNA
Trail Airport,YZZ
Merritt Airport,YMB
Campbell River Seaplane Base,YHH
Whistler/Green Lake Water Aerodrome,YWS
Bamfield Seaplane Base,YBF
Big Bay Seaplane Base,YIG
Chilko Lake (Tsylos Park Lodge) Airport,CJH
Pender Harbour Seaplane Base,YPT
Ocean Falls Seaplane Base,ZOF
Courtenay Airpark,YCA
Creston Valley Regional Airport - Art Sutcliffe Field,CFQ
Anahim Lake Airport,YAA
Douglas Lake Airport,DGF
Fort MacKay/Albian Aerodrome,JHL
Tahsis Seaplane Base,ZTS
Duncan Airport,DUQ
Sechelt-Gibsons Airport,YHS
Kitkatla Seaplane Base,YKK
Queen Charlotte City Seaplane Base,ZQS
Powell Lake Seaplane Base,WPL
Qualicum Beach Airport,XQU
Port McNeill Airport,YMP
Rivers Inlet Seaplane Base,YRN
Sullivan Bay Seaplane Base,YTG
Mansons Landing Seaplane Base,YMU
Bella Bella/Shearwater Seaplane Base,YSX
Ganges Seaplane Base,YGG
Hartley Bay Seaplane Base,YTB
Cache Creek-Ashcroft Regional Airport,YZA
Bella Bella (Campbell Island) Airport,ZEL
Cherrabun Airport,CBC
Alberni Valley Regional Airport,YPB
Bob Quinn Lake Airport,YBO
Tungsten (Cantung) Airport,TNS
Tumbler Ridge Airport,TUX
Williams Harbour Airport,YWM
Postville Airport,YSO
Black Tickle Airport,YBI
Charlottetown Airport,YHG
St. Lewis (Fox Harbour) Airport,YFX
Port Hope Simpson Airport,YHA
Rigolet Airport,YRG
Diavik Airport,DVK
Doris Lake,JOJ
Fairview Airport,ZFW
Jasper-Hinton Airport,YJP
Whatì Airport,YLE
Drayton Valley Industrial Airport,YDC
Fort McMurray / Mildred Lake Airport,NML
Conklin (Leismer) Airport,CFM
St. Paul Airport,ZSP
Kavadja Airport,KWD
Taltheilei Narrows Airport,GSL
Macmillan Pass Airport,XMP
Great Bear Lake Airport,DAS
Fort Mackay / Firebag,YFI
Wekweètì Airport,YFJ
Donnelly Airport,YOE
Cheadle Airport,TIL
Okoyo Airport,OKG
Craig Seaplane Base,CGA
Cape Gloucester Airport,CGC
Casiguran Airport,CGG
Gahcho Kue,GHK
Circle Hot Springs Airport,CHP
Chomley Seaplane Base,CIV
Laurie River Airport,LRQ
Hatchet Lake Airport,YDJ
Kasba Lake Airport,YDU
Fort Reliance Seaplane Base,YFL
Cluff Lake Airport,XCL
Knee Lake Airport,YKE
Summer Beaver Airport,SUR
Crooked Creek Airport,CKD
Tisdale Airport,YTT
Wapekeka Airport,YAX
Wunnumin Lake Airport,WNN
Opapimiskan Lake Airport,YBS
North Spirit Lake Airport,YNO
Crane Island Airstrip,CKR
Cordova Municipal Airport,CKU
North of Sixty Airport,YDW
Chicken Airport,CKX
Nuevo Chaitén Airport,WCH
New Cametá Airport,CMT
Caia Airport,CMZ
Tangshan Sannühe Airport,TVS
Yuanmou Air Base,YUA
Zhangjiakou Ningyuan Airport,ZQZ
Baoshan Yunrui Airport,BSD
Dazu Air Base,DZU
Lincang Boshang Airport,LNJ
Xigaze Peace Airport / Shigatse Air Base,RKZ
Panzhihua Bao'anying Airport,PZI
Zigong Fengming Airport,ZKL
Foshan Shadi Airport,FUO
Bazhong Enyang Airport,BZX
Xinyang Minggang Airport,XAI
Huizhou Pingtan Airport,HUZ
Shangluo Airport,DFA
Shaoguan Danxia Airport,HSC
Jinggangshan Airport,JGS
Baise Youjiang Airport,AEB
Lianyungang Huaguoshan International Airport,LYG
Dongying Shengli Airport,DOY
Xingcheng Air Base,XEN
Altay Xuedu Airport,AAT
Tianshui Maijishan Airport,THQ
Zhangye Ganzhou Airport,YZY
Morin Dawa Banner Airport,DWS
Shijiazhuang Luancheng Airport,LCT
Wuhan Hannan Municipal Airport,WHN
Beijing Nanjiao Airport,NAY
Dandong Langtou Airport,DDG
Penglai Shahekou Airport,PNJ
Binzhou Daguo Airport,CBZ
Xigaze Dingri Airport,DDR
Tashikuergan Hongqilafu Airport,HQL
Jiande Qiandaohu General Airport,JDE
Zhaodong Beidahuang General Airport,HLJ
Taiyuan Yaocheng Airport,TYC
Zhanjiang Wuchuan Airport,ZHA
Zhaosu Tianma Airport,ZFL
Yinchuan Yueyahu Airport,YEH
Lanping Fenghua General Airport,LFH
Nantong Xingdong International Airport,NTG
Bearskin Lake Airport,XBE
Natuashish Airport,YNP
White River Seaplane Base,YWR
Parry Sound Area Municipal Airport,YPD
Brockville - Thousand Islands Regional Tackaberry Airport,XBR
Kingfisher Lake Airport,KIF
Ogoki Post Airport,YOG
La Chorrera Airport,LCR
Las Cruces Airport,SNT
Tarapacá Airport,TCD
Bar River Airport,YEB
Cape Orford Airport,CPI
Parry Sound/Frying Pan Island-Sans Souci Seaplane Base,YSI
Poplar Hill Airport,YHP
Keewaywin Airport,KEW
Reef Hueston Helicopter Landing,XVQ
Kirby Lake Airport,KFM
Sable Island Landing Strip,YSA
Lebel-sur-Quevillon Airport,YLS
Snap Lake Airport,YNX
La Sarre Airport,SSQ
Chisasibi Airport,YKU
Rentschler Heliport,EHT
Tête-à-la-Baleine Airport,ZTB
Kegaska Airport,ZKG
Chute-Des-Passes/Lac Margane Seaplane Base,YWQ
Carutapera Airport,CTP
Donaldson Airport,YAU
Ottawa / Rockcliffe Seaplane Base,TR7
La Romaine Airport,ZGS
Fontanges Airport,YFG
La Tabatière Airport,ZLT
Culion Airport,CUJ
Hollister Municipal Airport,HLI
Cape Vogel Airport,CVL
Chitina Airport,CXC
Lefkoniko Airport / Geçitkale Air Base,GEC
Arctic Bay Airport,YAB
Cat Lake Airport,YAC
La Grande-3 Airport,YAR
Fort Frances Municipal Airport,YAG
La Grande-4 Airport,YAH
Alert Bay Airport,YAL
Sault Ste Marie Airport,YAM
Kasabonika Airport,XKS
Kangirsuk Airport,YKG
Attawapiskat Airport,YAT
St. Anthony Airport,YAY
Tofino / Long Beach Airport,YAZ
Banff Airport,YBA
Kugaaruk Airport,YBB
Baie-Comeau Airport,YBC
Bella Coola Airport,QBC
Uranium City Airport,YBE
Bonnyville Airport,YBY
CFB Bagotville,YBG
Baker Lake Airport,YBK
Campbell River Airport,YBL
Tadoule Lake Airport,XTL
Brandon Municipal Airport,YBR
Brochet Airport,YBT
Berens River Airport,YBV
Lourdes-de-Blanc-Sablon Airport,YBX
Cartwright Airport,YRF
Cambridge Bay Airport,YCB
Cornwall Regional Airport,YCC
Nanaimo Airport,YCD
Centralia / James T. Field Memorial Aerodrome,YCE
Castlegar/West Kootenay Regional Airport,YCG
Miramichi Airport,YCH
Chatham Kent Airport,XCM
Charlo Airport,YCL
Cochrane Airport,YCN
Kugluktuk Airport,YCO
Chetwynd Airport,YCQ
Cross Lake (Charlie Sinclair Memorial) Airport,YCR
Chesterfield Inlet Airport,YCS
Coronation Airport,YCT
Chilliwack Airport,YCW
Clyde River Airport,YCY
Fairmont Hot Springs Airport,YCZ
Dawson City Airport,YDA
Burwash Airport,YDB
Deer Lake Airport,YDF
Dease Lake Airport,YDL
Ross River Airport,XRR
Dauphin Barker Airport,YDN
Dolbeau St Felicien Airport,YDO
Nain Airport,YDP
Dawson Creek Airport,YDQ
Edmonton International Airport,YEG
Arviat Airport,YEK
Elliot Lake Municipal Airport,YEL
Manitoulin East Municipal Airport,YEM
Estevan Airport,YEN
Fort Severn Airport,YER
Edson Airport,YET
Eureka Airport,YEU
Inuvik Mike Zubko Airport,YEV
Amos/Magny Airport,YEY
Fort Albany Airport,YFA
Iqaluit Airport,YFB
Fredericton Airport,YFC
Forestville Airport,YFE
Fort Hope Airport,YFH
Mont-Tremblant International Airport,YTM
Flin Flon Airport,YFO
Fort Resolution Airport,YFR
Fort Simpson Airport,YFS
Makkovik Airport,YMN
Texada Gillies Bay Airport,YGB
Fort Good Hope Airport,YGH
Kingston Norman Rogers Airport,YGK
La Grande Rivière Airport,YGL
Gimli Industrial Park Airport,YGM
Gods Lake Narrows Airport,YGO
Gaspé (Michel-Pouliot) Airport,YGP
Geraldton Greenstone Regional Airport,YGQ
Îles-de-la-Madeleine Airport,YGR
Igloolik Airport,YGT
Havre-Saint-Pierre Airport,YGV
Kuujjuarapik Airport,YGW
Gillam Airport,YGX
Grise Fiord Airport,YGZ
Quaqtaq Airport,YQC
Hudson Bay Airport,YHB
Vancouver Harbour Water Aerodrome,CXH
Dryden Regional Airport,YHD
Hope Airport / FVRD Regional Airpark,YHE
Hearst René Fontaine Municipal Airport,YHF
Nemiscau Airport,YNS
Ulukhaktok Holman Airport,YHI
Gjoa Haven Airport,YHK
John C. Munro Hamilton International Airport,YHM
Hornepayne Municipal Airport,YHN
Hopedale Airport,YHO
Chevery Airport,YHR
Haines Junction Airport,YHT
Montréal / Saint-Hubert Airport,YHU
Hay River / Merlyn Carter Airport,YHY
Halifax / Stanfield International Airport,YHZ
Atikokan Municipal Airport,YIB
Digby / Annapolis Regional Airport,YDG
St Augustin Airport,YIF
Ivujivik Airport,YIK
Pond Inlet Airport,YIO
Island Lake Airport,YIV
Jasper Airport,YJA
Fort Liard Airport,YJF
St Jean Airport,YJN
Stephenville Airport,YJT
Kamloops John Moose Fulton Field Regional Airport,YKA
Collins Bay Airport,YKC
Aklavik/Freddie Carmichael Airport,LAK
Waterloo Airport,YKF
Kangiqsujuaq (Wakeham Bay) Airport,YWB
Key Lake Airport,YKJ
Schefferville Airport,YKL
Kincardine Municipal Airport,YKD
Akulivik Airport,AKV
Waskaganish Airport,YKQ
Kirkland Lake Airport,YKX
Kindersley Airport,YKY
Buttonville Municipal Airport,YKZ
Aupaluk Airport,YPJ
Lac La Biche Airport,YLB
Kimmirut Airport,YLC
Chapleau Airport,YLD
Lansdowne House Airport,YLH
Meadow Lake Airport,YLJ
Lutselk'e Airport,YSG
Lloydminster Airport,YLL
La Tuque Airport,YLQ
Leaf Rapids Airport,YLR
Barrie-Lake Simcoe Regional Airport,YLK
Alert Airport,YLT
Kangiqsualujjuaq (Georges River) Airport,XGR
Kelowna International Airport,YLW
Chatham Seaplane Base,CYM
Mayo Airport,YMA
Matane Airport,YME
Manitouwadge Airport,YMG
Mary's Harbour Airport,YMH
Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ
Charlevoix Airport,YML
Fort McMurray Airport,YMM
Moosonee Airport,YMO
Chapais Airport,YMT
Umiujaq Airport,YUD
Maniwaki Airport,YMW
Montreal International (Mirabel) Airport,YMX
Natashquan Airport,YNA
Wemindji Airport,YNC
Ottawa / Gatineau Airport,YND
Norway House Airport,YNE
Hudsons Hope Airport,YNH
Langley Airport,YLY
Points North Landing Airport,YNL
Matagami Airport,YNM
Fort Mackay / Horizon Airport,HZP
Ekati Airport,YOA
Old Crow Airport,YOC
CFB Cold Lake,YOD
Oxford House Airport,YOH
High Level Airport,YOJ
Oshawa Executive Airport,YOO
Rainbow Lake Airport,YOP
Owen Sound / Billy Bishop Regional Airport,YOS
Ottawa Macdonald-Cartier International Airport,YOW
Prince Albert Glass Field,YPA
Paulatuk (Nora Aliqatchialuk Ruben) Airport,YPC
Port Hawkesbury Airport,YPS
Peace River Airport,YPE
Portage-la-Prairie / Southport Airport,YPG
Inukjuak Airport,YPH
Pickle Lake Airport,YPL
Pikangikum Airport,YPM
Port Menier Airport,YPN
Peawanuck Airport,YPO
Peterborough Municipal Airport,YPQ
Prince Rupert Airport,YPR
Powell River Airport,YPW
Puvirnituq Airport,YPX
Fort Chipewyan Airport,YPY
Burns Lake Airport,YPZ
Muskoka Airport,YQA
Quebec Jean Lesage International Airport,YQB
The Pas Airport,YQD
Red Deer Regional Airport,YQF
Windsor Airport,YQG
Watson Lake Airport,YQH
Yarmouth Airport,YQI
Kenora Airport,YQK
Lethbridge County Airport,YQL
Greater Moncton Roméo LeBlanc International Airport,YQM
Nakina Airport,YQN
Comox Valley Airport / CFB Comox,YQQ
Regina International Airport,YQR
St Thomas Municipal Airport,YQS
Thunder Bay Airport,YQT
Grande Prairie Airport,YQU
Yorkton Municipal Airport,YQV
North Battleford Airport,YQW
Gander International Airport / CFB Gander,YQX
Sydney / J.A. Douglas McCurdy Airport,YQY
Quesnel Airport,YQZ
Rae Lakes Airport,YRA
Resolute Bay Airport,YRB
Rivière-du-Loup Airport,YRI
Roberval Airport,YRJ
Red Lake Airport,YRL
Rocky Mountain House Airport,YRM
Ottawa / Rockcliffe Airport,YRO
Trois-Rivières Airport,YRQ
Red Sucker Lake Airport,YRS
Rankin Inlet Airport,YRT
Revelstoke Airport,YRV
Sudbury Airport,YSB
Sherbrooke Airport,YSC
Canadian Forces Base Suffield Heliport,YSD
Squamish Airport,YSE
Stony Rapids Airport,YSF
Smiths Falls-Montague (Russ Beach) Airport,YSH
Saint John Airport,YSJ
Sanikiluaq Airport,YSK
Saint-Léonard Airport,YSL
Fort Smith Airport,YSM
Niagara District Airport,YCM
Marathon Airport,YSP
St. Theresa Point Airport,YST
Summerside Airport,YSU
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY
Pembroke Airport,YTA
Cape Dorset Airport,YTE
Alma Airport,YTF
Thompson Airport,YTH
Big Trout Lake Airport,YTL
Tasiujaq Airport,YTQ
CFB Trenton,YTR
Timmins/Victor M. Power,YTS
Billy Bishop Toronto City Centre Airport,YTZ
Tuktoyaktuk / James Gruben Airport,YUB
Montreal / Pierre Elliott Trudeau International Airport,YUL
Naujaat Airport,YUT
Hall Beach Airport,YUX
Rouyn Noranda Airport,YUY
Bonaventure Airport,YVB
La Ronge Airport,YVC
